seq,t,dt,work,missed,,,
972,13093546,4993,9,0,,,
973,13098549,5003,9,0,,,
974,13103552,5003,9,0,,,
975,13108551,4999,8,0,,,
976,13113552,5001,9,0,,,
977,13118547,4995,8,0,,,
978,13123551,5004,8,0,,,
979,13128553,5002,8,0,,,
980,13133555,5002,9,0,,,
981,13138550,4995,9,0,,,
982,13143554,5004,9,0,,,
983,13148547,4993,9,0,,,
984,13153550,5003,9,0,,,
985,13158550,5000,9,0,,,
986,13163548,4998,9,0,,,
987,13168546,4998,8,0,,,
988,13173551,5005,9,0,,,
989,13178547,4996,9,0,,,
990,13183551,5004,9,0,,,
991,13188550,4999,9,0,,,
992,13193547,4997,9,0,,,
993,13198550,5003,9,0,,,
994,13203550,5000,26,0,,,
995,13208551,5001,8,0,,,
996,13213549,4998,9,0,,,
997,13218553,5004,8,0,,,
998,13223546,4993,9,0,,,
999,13228546,5000,9,0,,,
1000,13233552,5006,9,0,,,
1001,13238551,4999,9,0,,,
1002,13243549,4998,9,0,,,
1003,13248552,5003,8,0,,,
1004,13253546,4994,9,0,,,
1005,13258554,5008,9,0,,,
1006,13263565,5011,9,0,,,
1007,13268552,4987,9,0,,,
1008,13273549,4997,9,0,,,
1009,13278550,5001,9,0,,,
1010,13283551,5001,8,0,,,
1011,13288547,4996,9,0,,,
1012,13293546,4999,8,0,,,
1013,13298548,5002,9,0,,,
1014,13303552,5004,9,0,,,
1015,13308552,5000,9,0,,,
1016,13313552,5000,9,0,,,
1017,13318553,5001,9,0,,,
1018,13323548,4995,9,0,,,
1019,13328555,5007,9,0,,,
1020,13333550,4995,9,0,,,
1021,13338547,4997,8,0,,,
1022,13343554,5007,9,0,,,
1023,13348550,4996,9,0,,,
1024,13353548,4998,9,0,,,
1025,13358546,4998,9,0,,,
1026,13363558,5012,9,0,,,
1027,13368549,4991,8,0,,,
1028,13373551,5002,9,0,,,
1029,13378549,4998,9,0,,,
1030,13383553,5004,9,0,,,
1031,13388548,4995,9,0,,,
1032,13393549,5001,9,0,,,
1033,13398553,5004,8,0,,,
1034,13403571,5018,9,0,,,
1035,13408551,4980,9,0,,,
1036,13413552,5001,9,0,,,
1037,13418547,4995,9,0,,,
1038,13423555,5008,9,0,,,
1039,13428550,4995,9,0,,,
1040,13433550,5000,9,0,,,
1041,13438554,5004,9,0,,,
1042,13443554,5000,9,0,,,
1043,13448554,5000,8,0,,,
1044,13453550,4996,9,0,,,
1045,13458552,5002,9,0,,,
1046,13463553,5001,8,0,,,
1047,13468558,5005,9,0,,,
1048,13473551,4993,9,0,,,
1049,13478551,5000,9,0,,,
1050,13483551,5000,9,0,,,
1051,13488554,5003,8,0,,,
1052,13493551,4997,8,0,,,
1053,13498549,4998,9,0,,,
1054,13503551,5002,9,0,,,
1055,13508552,5001,9,0,,,
1056,13513548,4996,9,0,,,
1057,13518547,4999,9,0,,,
1058,13523554,5007,9,0,,,
1059,13528549,4995,9,0,,,
1060,13533555,5006,9,0,,,
1061,13538548,4993,9,0,,,
1062,13543555,5007,9,0,,,
1063,13548551,4996,9,0,,,
1064,13553553,5002,8,0,,,
1065,13558548,4995,8,0,,,
1066,13563554,5006,9,0,,,
1067,13568548,4994,9,0,,,
1068,13573563,5015,9,0,,,
1069,13578546,4983,8,0,,,
1070,13583553,5007,9,0,,,
1071,13588554,5001,8,0,,,
1072,13593549,4995,9,0,,,
1073,13598551,5002,9,0,,,
1074,13603548,4997,8,0,,,
1075,13608552,5004,8,0,,,
1076,13613552,5000,8,0,,,
1077,13618552,5000,9,0,,,
1078,13623546,4994,9,0,,,
1079,13628551,5005,8,0,,,
1080,13633553,5002,9,0,,,
1081,13638552,4999,9,0,,,
1082,13643555,5003,9,0,,,
1083,13648550,4995,9,0,,,
1084,13653552,5002,9,0,,,
1085,13658552,5000,8,0,,,
1086,13663549,4997,9,0,,,
1087,13668549,5000,9,0,,,
1088,13673549,5000,9,0,,,
1089,13678576,5027,9,0,,,
1090,13683550,4974,8,0,,,
1091,13688551,5001,9,0,,,
1092,13693550,4999,9,0,,,
1093,13698554,5004,8,0,,,
1094,13703548,4994,9,0,,,
1095,13708548,5000,9,0,,,
1096,13713555,5007,9,0,,,
1097,13718552,4997,9,0,,,
1098,13723554,5002,8,0,,,
1099,13728548,4994,8,0,,,
1100,13733546,4998,9,0,,,
1101,13738548,5002,9,0,,,
1102,13743553,5005,8,0,,,
1103,13748550,4997,9,0,,,
1104,13753549,4999,9,0,,,
1105,13758547,4998,9,0,,,
1106,13763549,5002,9,0,,,
1107,13768554,5005,9,0,,,
1108,13773552,4998,9,0,,,
1109,13778546,4994,8,0,,,
1110,13783549,5003,9,0,,,
1111,13788548,4999,9,0,,,
1112,13793546,4998,9,0,,,
1113,13798551,5005,9,0,,,
1114,13803547,4996,9,0,,,
1115,13808552,5005,9,0,,,
1116,13813550,4998,9,0,,,
1117,13818568,5018,8,0,,,
1118,13823553,4985,9,0,,,
1119,13828552,4999,9,0,,,
1120,13833552,5000,8,0,,,
1121,13838546,4994,9,0,,,
1122,13843554,5008,9,0,,,
1123,13848550,4996,9,0,,,
1124,13853552,5002,9,0,,,
1125,13858549,4997,9,0,,,
1126,13863550,5001,8,0,,,
1127,13868551,5001,9,0,,,
1128,13873547,4996,9,0,,,
1129,13878546,4999,8,0,,,
1130,13883546,5000,8,0,,,
1131,13888549,5003,9,0,,,
1132,13893552,5003,8,0,,,
1133,13898550,4998,9,0,,,
1134,13903547,4997,8,0,,,
1135,13908549,5002,9,0,,,
1136,13913549,5000,9,0,,,
1137,13918546,4997,9,0,,,
1138,13923546,5000,9,0,,,
1139,13928552,5006,9,0,,,
1140,13933547,4995,9,0,,,
1141,13938554,5007,9,0,,,
1142,13943554,5000,8,0,,,
1143,13948546,4992,9,0,,,
1144,13953548,5002,8,0,,,
1145,13958554,5006,8,0,,,
1146,13963551,4997,9,0,,,
1147,13968549,4998,8,0,,,
1148,13973551,5002,9,0,,,
1149,13978551,5000,9,0,,,
1150,13983549,4998,9,0,,,
1151,13988552,5003,9,0,,,
1152,13993549,4997,9,0,,,
1153,13998551,5002,9,0,,,
1154,14003546,4995,9,0,,,
1155,14008549,5003,9,0,,,
1156,14013549,5000,9,0,,,
1157,14018551,5002,9,0,,,
1158,14023547,4996,9,0,,,
1159,14028548,5001,8,0,,,
1160,14033551,5003,9,0,,,
1161,14038550,4999,9,0,,,
1162,14043550,5000,9,0,,,
1163,14048551,5001,9,0,,,
1164,14053554,5003,9,0,,,
1165,14058550,4996,9,0,,,
1166,14063554,5004,8,0,,,
1167,14068548,4994,9,0,,,
1168,14073546,4998,9,0,,,
1169,14078546,5000,9,0,,,
1170,14083582,5036,9,0,,,
1171,14088547,4965,9,0,,,
1172,14093552,5005,9,0,,,
1173,14098547,4995,9,0,,,
1174,14103551,5004,9,0,,,
1175,14108546,4995,9,0,,,
1176,14113552,5006,9,0,,,
1177,14118567,5015,8,0,,,
1178,14123547,4980,9,0,,,
1179,14128553,5006,8,0,,,
1180,14133546,4993,9,0,,,
1181,14138552,5006,8,0,,,
1182,14143546,4994,9,0,,,
1183,14148552,5006,8,0,,,
1184,14153554,5002,9,0,,,
1185,14158554,5000,9,0,,,
1186,14163549,4995,8,0,,,
1187,14168553,5004,8,0,,,
1188,14173552,4999,9,0,,,
1189,14178548,4996,9,0,,,
1190,14183551,5003,9,0,,,
1191,14188549,4998,9,0,,,
1192,14193547,4998,8,0,,,
1193,14198546,4999,8,0,,,
1194,14203554,5008,9,0,,,
1195,14208551,4997,9,0,,,
1196,14213550,4999,9,0,,,
1197,14218548,4998,8,0,,,
1198,14223553,5005,9,0,,,
1199,14228546,4993,9,0,,,
1200,14233554,5008,9,0,,,
1201,14238554,5000,9,0,,,
1202,14243552,4998,8,0,,,
1203,14248550,4998,9,0,,,
1204,14253546,4996,9,0,,,
1205,14258546,5000,9,0,,,
1206,14263553,5007,9,0,,,
1207,14268554,5001,9,0,,,
1208,14273554,5000,8,0,,,
1209,14278548,4994,9,0,,,
