t_us, seq, ax, ay, az, gx, gy, gz, mx, my, mz, valid_mag_reading, valid, t_imu_us, t_serial_us, last_t_mag, missed
29701252,202,-0.0410,0.0054,1.0210,0.0000,0.4272,-0.1831,6.0000,42.0000,59.0000,0,1,489,1131,397,0
29706270,203,-0.0410,0.0049,1.0215,-0.0610,0.3052,-0.3662,6.0000,42.0000,59.0000,0,1,465,1106,396,0
29711252,204,-0.0420,0.0049,1.0210,0.0610,0.1831,-0.2441,6.0000,42.0000,59.0000,0,1,491,1178,396,0
29716250,205,-0.0430,0.0049,1.0190,0.0610,0.1831,-0.1831,6.0000,42.0000,59.0000,0,1,466,1163,396,0
29721253,206,-0.0439,0.0049,1.0186,-0.0610,0.3052,-0.1831,6.0000,42.0000,59.0000,0,1,497,1165,397,0
29726254,207,-0.0444,0.0039,1.0195,-0.1221,0.2441,-0.1831,6.0000,42.0000,59.0000,0,1,481,1160,397,0
29731249,208,-0.0435,0.0029,1.0210,-0.0610,0.1831,-0.2441,6.0000,42.0000,59.0000,0,1,492,1171,397,0
29736251,209,-0.0425,0.0029,1.0210,0.0610,0.3052,-0.2441,6.0000,42.0000,59.0000,0,1,488,1164,397,0
29741254,210,-0.0425,0.0034,1.0200,0.0610,0.3052,-0.1831,6.0000,42.0000,59.0000,0,1,495,1159,397,0
29746249,211,-0.0430,0.0044,1.0186,0.0610,0.3052,-0.1831,6.0000,39.0000,63.0000,1,1,505,1161,395,0
29751249,212,-0.0435,0.0054,1.0186,0.0000,0.3052,-0.1831,6.0000,39.0000,63.0000,0,1,468,1134,791,0
29756256,213,-0.0435,0.0049,1.0200,0.0000,0.0610,-0.1831,6.0000,39.0000,63.0000,0,1,479,1116,411,0
29761248,214,-0.0420,0.0049,1.0210,0.1221,0.1221,-0.3052,6.0000,39.0000,63.0000,0,1,462,1117,438,0
